|x,y,z,id,height|
2762630.6,1174324.73,1514.33,149.0,23.179975585937427
2762922.5,1174321.34,1564.3400000000001,150.0,24.590000000000146
2762900.32,1174621.01,1557.05,151.0,26.139965820312455
2762074.42,1174897.2,1412.18,152.0,9.039985351562564
2762749.94,1174595.59,1518.01,153.0,17.86998535156249
2762164.47,1174744.29,1434.88,154.0,17.40001953125011
2762305.77,1174312.87,1475.25,155.0,26.8800048828125
2762784.18,1174182.39,1527.24,156.0,19.20997070312501
2762965.11,1174895.15,1606.23,157.0,19.849995117187518
2762897.78,1174761.65,1584.6000000000001,158.0,23.740014648437636
2762178.82,1174190.67,1455.21,159.0,21.730019531250036
2762845.15,1174522.99,1547.18,160.0,25.639960937500064
2762769.88,1174973.47,1551.68,161.0,22.450019531250064
2762531.77,1174381.18,1511.58,162.0,34.71000488281243
2762517.63,1174705.7,1466.24,163.0,5.020029296875009
2762716.76,1174849.08,1519.18,164.0,13.490058593750064
2762187.91,1174857.45,1425.47,165.0,9.409941406250027
2762841.57,1174608.51,1538.76,166.0,20.96996093749999
2762252.9,1174895.57,1439.43,167.0,17.869941406250064
2762323.37,1174714.64,1459.33,168.0,22.799970703124927
2762775.18,1174008.53,1519.95,169.0,23.069995117187545
2762795.6,1174222.13,1531.25,170.0,18.1800537109375
2762250.99,1174515.21,1451.82,171.0,17.100029296874936
2762219.94,1174729.21,1447.89,172.0,23.6400000000001
2762336.99,1174867.48,1442.95,173.0,11.730029296875045
2762938.14,1174971.39,1602.54,174.0,12.899985351562464
2762219.71,1174647.73,1434.14,175.0,6.9400488281251
2762569.55,1174421.17,1505.44,176.0,24.990048828125055
2762333.17,1174615.04,1462.06,177.0,19.610048828124945
2762454.13,1174448.89,1484.43,178.0,20.499946289062564
2762593.17,1174412.87,1499.6100000000001,179.0,15.959975585937627
2762949.11,1174147.36,1581.19,180.0,28.590024414062555
2762932.45,1174770.61,1605.33,181.0,25.289960937499927
2762852.77,1174722.75,1568.46,182.0,36.110024414062536
2762925.12,1174440.14,1541.01,183.0,4.089956054687491
2762638.44,1174771.48,1499.13,184.0,18.91002929687511
2762797.48,1174405.22,1528.53,185.0,11.279999999999973
2762164.61,1174109.63,1447.21,186.0,16.649941406250036
2762071.25,1174854.55,1429.03,187.0,25.989960937499973
2762640.86,1174589.69,1491.15,188.0,6.910009765625091
2762730.01,1174515.13,1507.69,189.0,4.690000000000055
2762613.83,1174888.77,1501.97,190.0,17.319975585937527
2762837.66,1174135.97,1558.24,191.0,27.39002441406251
2762599.53,1174147.76,1506.45,192.0,26.230029296875045
2762413.31,1174339.49,1492.0,193.0,29.43994140625
2762578.47,1174972.36,1493.18,194.0,17.799995117187564
2762456.22,1174338.79,1494.8700000000001,195.0,26.00000488281262
2762620.01,1174763.95,1499.95,196.0,23.620043945312545
2762530.84,1174123.84,1488.91,197.0,18.930019531250082
2762820.85,1174011.24,1541.79,198.0,30.149985351562464
2762222.02,1174991.32,1421.3500000000001,199.0,1.9599853515626364
2762573.35,1174869.1,1489.23,200.0,15.449970703125018
2762620.11,1174863.01,1494.38,201.0,9.96996582031261
2762771.74,1174831.21,1537.1200000000001,202.0,25.37000000000012
2762897.11,1174211.66,1552.49,203.0,13.209970703125009
2762316.93,1174278.81,1473.1000000000001,204.0,24.459985351562636
2762850.95,1174384.37,1551.3500000000001,205.0,24.380029296875136
2762641.03,1174103.81,1492.43,206.0,8.909980468750064
2762805.8,1174850.35,1563.32,207.0,28.639946289062436
2762890.16,1174843.16,1594.2,208.0,32.289965820312545
2762418.13,1174757.22,1458.0,209.0,11.06005859375
2762387.29,1174897.78,1448.03,210.0,13.960053710937473
2762891.78,1174593.53,1552.8700000000001,211.0,21.87000000000012
2762043.73,1174353.37,1452.53,212.0,34.46994140624997
2762783.14,1174077.84,1520.28,213.0,15.389985351562473
2762613.72,1174032.77,1492.03,214.0,18.849946289062473
2762332.12,1174897.72,1444.8500000000001,215.0,15.799951171875136
2762926.39,1174947.29,1596.33,216.0,14.730024414062427
2762208.22,1174050.95,1445.02,217.0,13.050029296874982
2762656.99,1174757.52,1501.33,218.0,18.850019531249927
2762727.45,1174085.54,1505.26,219.0,18.33995605468749
2762068.47,1174295.46,1454.6100000000001,220.0,33.58998046875013
2762100.64,1174459.95,1446.9,221.0,27.00998535156259
2762191.68,1174046.0,1433.43,222.0,2.7999951171875637
2762628.79,1174892.75,1511.49,223.0,24.26001953125001
2762515.79,1174066.13,1479.15,224.0,14.670019531250091
2762817.51,1174324.98,1534.32,225.0,11.110039062499936
2762328.95,1174539.16,1465.73,226.0,21.290058593750018
2762964.75,1174159.38,1569.63,227.0,14.82995117187511
2762545.82,1174347.58,1504.05,228.0,23.850048828124955
2762581.9,1174245.0,1502.39,229.0,19.4000097656251
2762903.46,1174127.3,1577.06,230.0,29.039980468749945
2762824.96,1174377.5,1536.89,231.0,13.2299658203126
2762336.09,1174132.61,1474.7,232.0,26.529956054687545
2762334.41,1174556.41,1469.07,233.0,23.929985351562436
2762564.14,1174090.78,1487.15,234.0,15.540014648437591
2762051.58,1174287.47,1453.59,235.0,33.97000488281242
2762667.52,1174496.14,1497.75,236.0,5.5899658203125
2762428.27,1174447.77,1489.88,237.0,29.44005859375011
2762342.26,1174641.54,1447.82,238.0,6.789970703124936
2762397.32,1174988.7,1469.1200000000001,239.0,21.07996093750012
2762325.73,1174515.65,1472.05,240.0,27.730053710937455
2762385.47,1174972.35,1470.83,241.0,27.909956054687427
2762646.45,1174018.02,1493.68,242.0,21.119941406250064
2762839.07,1174816.45,1581.23,243.0,34.49000976562502
2762247.95,1174861.46,1429.46,244.0,7.360024414062536
2762936.83,1174188.1,1571.3500000000001,245.0,22.500024414062636
2762455.97,1174586.18,1467.5,246.0,7.1800537109375
2762642.49,1174578.98,1490.48,247.0,4.939960937500018
2762233.67,1174645.83,1456.03,248.0,27.509980468749973
2762003.51,1174849.65,1417.91,249.0,21.979946289062582
2762772.38,1174221.31,1524.88,250.0,15.08996093750011
2762724.15,1174716.38,1517.03,251.0,29.210053710937473
2762716.18,1174711.28,1515.48,252.0,28.669941406250018
2762455.03,1174241.95,1484.92,253.0,20.940019531250073
2762611.06,1174760.16,1493.09,254.0,19.819980468749918
2762719.51,1174134.67,1516.3,255.0,23.649975585937455
2762775.96,1174199.86,1526.82,256.0,18.000053710937436
2762405.84,1174956.23,1463.01,257.0,17.11998535156249
2762605.61,1174358.8,1515.7,258.0,26.269946289062545
2762848.36,1174393.65,1541.23,259.0,14.110004882812518
2762009.72,1174617.57,1428.1000000000001,260.0,26.410058593750136
2762354.17,1174862.36,1447.59,261.0,14.230014648437418
2762609.31,1174437.05,1500.51,262.0,14.719960937499991
2762516.28,1174234.95,1499.74,263.0,27.38001464843751
2762255.48,1174757.73,1446.32,264.0,19.700004882812436
2762969.16,1174342.18,1560.3400000000001,265.0,12.140048828125146
2762268.1,1174747.78,1451.77,266.0,22.570048828124982
2762659.78,1174818.16,1498.3600000000001,267.0,9.939956054687627
2762761.62,1174703.88,1520.14,268.0,27.8499609375001
2762732.16,1174876.28,1523.3600000000001,269.0,11.339980468750127
2762398.62,1174561.33,1469.23,270.0,16.130024414062518
2762378.38,1174958.37,1465.39,271.0,28.3100439453126
2762631.33,1174879.61,1501.66,272.0,12.389980468750082
2762465.18,1174720.01,1472.26,273.0,17.49999023437499
2762420.87,1174832.26,1461.25,274.0,18.0899658203125
2762826.45,1174327.9,1539.7,275.0,15.090014648437545
2762048.18,1174373.57,1445.72,276.0,29.530058593750027
2762111.2,1174592.73,1439.95,277.0,25.470019531250045
2762696.91,1174911.69,1524.6000000000001,278.0,16.990014648437636
2762270.25,1174954.47,1439.8600000000001,279.0,19.530043945312627
2762648.68,1174999.63,1525.71,280.0,28.899941406250036
2762707.81,1174732.8,1514.6000000000001,281.0,27.850000000000136
2762773.25,1174373.8,1524.3600000000001,282.0,8.640029296875127
2762257.05,1174870.28,1431.1000000000001,283.0,9.069970703125136
2762749.7,1174022.1,1520.46,284.0,31.850014648437536
2762079.03,1174460.72,1448.26,285.0,30.82005859374999
2762283.03,1174953.92,1433.3700000000001,286.0,12.589970703125118
2762282.09,1174911.99,1436.52,287.0,13.589946289062482
2762148.41,1174673.85,1440.19,288.0,23.250058593750055
2762526.13,1174266.3,1494.82,289.0,20.019951171874936
2762804.64,1174577.15,1531.21,290.0,19.630043945312536
2762259.74,1174407.71,1460.39,291.0,19.8100439453126
2762278.67,1174397.27,1456.3500000000001,292.0,13.439965820312636
2762957.67,1174810.31,1608.5,293.0,21.27001953125
2762253.34,1174372.94,1460.16,294.0,19.489956054687582
2762457.76,1174111.16,1469.5,295.0,8.5
2762234.73,1174132.5,1465.08,296.0,27.059980468749927
2762777.51,1174277.71,1524.04,297.0,10.440024414062464
2762991.44,1174874.56,1616.95,298.0,26.529956054687545
2762035.56,1174841.16,1419.3500000000001,299.0,19.179956054687636
2762377.52,1174867.25,1451.99,300.0,16.70997070312501
2762255.16,1174643.04,1456.55,301.0,24.279980468749955
2762111.92,1174678.84,1439.9,302.0,27.94003906250009
2762798.64,1174136.2,1549.8600000000001,303.0,29.500014648437627
2762140.66,1174993.53,1427.97,304.0,19.909941406250027
2762928.01,1174646.96,1567.14,305.0,28.8799902343751
2762915.75,1174189.37,1575.44,306.0,29.399960937500055
2762252.3,1174130.96,1443.25,307.0,3.6099853515625
2762419.32,1174844.91,1455.51,308.0,13.280019531249991
2762991.54,1174680.79,1608.53,309.0,32.88998535156247
2762392.02,1174083.62,1469.54,310.0,17.729941406249964
2762896.93,1174855.83,1583.55,311.0,21.320019531249955
2762878.55,1174094.1,1570.65,312.0,33.37998046875009
2762479.29,1174675.39,1473.31,313.0,16.129946289062445
2762169.13,1174463.27,1456.95,314.0,28.819995117187545
2762589.32,1174022.35,1479.03,315.0,10.580048828124973
2762046.25,1174495.5,1436.53,316.0,23.950043945312473
2762446.95,1174477.31,1487.1100000000001,317.0,25.339980468750127
2762834.42,1174857.87,1576.33,318.0,30.939985351562427
2762258.42,1174169.91,1464.24,319.0,23.59998535156251
2762865.35,1174712.51,1567.65,320.0,28.40000000000009
2762626.42,1174925.87,1503.8700000000001,321.0,17.15002929687512
2762394.66,1174702.06,1451.8500000000001,322.0,7.000024414062636
2762933.67,1174765.23,1603.75,323.0,24.3199462890625
2762703.64,1174569.44,1503.74,324.0,9.729990234375009
2762178.23,1174437.82,1456.34,325.0,27.140048828124918
2762237.93,1174369.8,1458.19,326.0,18.720029296875055
